onet_soc_code,soc_code,occupation_title,occupation_description,job_zone,total_postings,postings_last_30d,postings_last_90d,unique_companies,postings_with_salary,salary_p25,median_salary,salary_p75,remote_postings,pct_remote,most_common_experience_level,most_common_work_type,top_hiring_companies,pct_bachelors_degree,pct_masters_degree,pct_doctoral_degree,adzuna_postings,linkedin_postings,linkedin_large_postings,ds_postings
11-1021.00,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",4,13936,42,42,3414,227,59990,80000,114635,29,0.0021,mid senior,onsite,"mcdonald's, journeys, dollar general, cumberland farms, dollar tree stores",27.3,0.15,0.0,42,616,13278,0
43-4041.00,43-4041,"Credit Authorizers, Checkers, and Clerks","Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data, determine credit worthiness, process applications, and notify customers of acceptance or rejection of credit.",2,9961,2,2,1511,102,35360,41080,46800,15,0.0015,mid senior,onsite,"family dollar, circle k, david's bridal, robert half, pls financial services, inc.",,,,2,498,9461,0
11-9051.00,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",2,9595,1,1,904,33,43160,62500,71500,0,0.0,mid senior,onsite,"mcdonald's, arby's, racetrac, denny's, goodwin recruiting",9.73,0.0,0.0,1,109,9485,0
11-2011.00,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",4,4966,17,17,2831,229,55000,77500,107843,508,0.1023,mid senior,onsite,"tradesmen international, iheartmedia, nexstar media group, inc., real producers magazine, townsquare media",60.02,5.87,0.0,17,575,4374,0
11-9021.00,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",4,4813,14,14,1927,135,85900,112500,130000,17,0.0035,mid senior,onsite,"jobot, cybercoders, michael page, actalent, triax engineering, llc",,,,14,308,4491,0
11-2022.00,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",4,4658,2,2,1773,142,67750,95000,126648,763,0.1638,mid senior,onsite,"j. galt, unitrust financial group, scholastic, cogent communications, steve madden",,,,2,1050,3606,0
11-3031.00,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",4,4620,6,6,2162,205,87048,112500,140000,46,0.01,mid senior,onsite,"jobot, robert half, creative financial staffing (cfs), public practice recruitment ltd - experts in public practice accountancy recruitment uk-wide, cybercoders",56.31,0.0,0.0,6,397,4217,0
41-2031.00,41-2031,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",2,4092,2,2,643,162,33280,39780,70750,28,0.0068,mid senior,onsite,"ross stores, inc., verizon authorized retailer, tcc, portables - at&t authorized retailer, harbor freight tools, travelex",4.01,0.0,0.0,2,549,3541,0
13-2011.00,13-2011,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",4,4012,2,2,2277,265,60000,70000,85000,22,0.0055,mid senior,onsite,"robert half, jobot, ascendo resources, lhh, creative financial staffing (cfs)",,,,2,535,3475,0
41-1011.00,41-1011,First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",2,3341,3,3,458,24,45760,54248,60340,0,0.0,mid senior,onsite,"the home depot, savers | value village, redner's markets, comoto family of brands, t-mobile",0.42,0.0,0.0,3,70,3268,0
