skill_name,report_month,mention_count,distinct_postings,total_postings_that_month,pct_of_postings,prev_month_mentions,mom_change_pct,is_trending,year,month_num
"""smart"" cell phone",2024-01-01 00:00:00,68,68,1348454,5e-05,,,false,2024,1
$750 referral bonus,2024-01-01 00:00:00,53,53,1348454,3.9e-05,,,false,2024,1
$90k$104k annual salary,2024-01-01 00:00:00,53,53,1348454,3.9e-05,,,false,2024,1
$90k$104k per year,2024-01-01 00:00:00,98,98,1348454,7.3e-05,,,false,2024,1
* analytical skills,2024-01-01 00:00:00,65,65,1348454,4.8e-05,,,false,2024,1
* attention to detail,2024-01-01 00:00:00,146,145,1348454,0.000108,,,false,2024,1
* budgeting,2024-01-01 00:00:00,54,54,1348454,4e-05,,,false,2024,1
* collaboration,2024-01-01 00:00:00,78,77,1348454,5.7e-05,,,false,2024,1
* communication,2024-01-01 00:00:00,379,378,1348454,0.00028,,,false,2024,1
* communication skills,2024-01-01 00:00:00,217,215,1348454,0.000159,,,false,2024,1
* customer service,2024-01-01 00:00:00,336,336,1348454,0.000249,,,false,2024,1
* data analysis,2024-01-01 00:00:00,85,83,1348454,6.2e-05,,,false,2024,1
* excel,2024-01-01 00:00:00,50,50,1348454,3.7e-05,,,false,2024,1
* flexibility,2024-01-01 00:00:00,68,68,1348454,5e-05,,,false,2024,1
* interpersonal skills,2024-01-01 00:00:00,101,101,1348454,7.5e-05,,,false,2024,1
* inventory management,2024-01-01 00:00:00,86,86,1348454,6.4e-05,,,false,2024,1
* leadership,2024-01-01 00:00:00,174,174,1348454,0.000129,,,false,2024,1
* merchandising,2024-01-01 00:00:00,55,55,1348454,4.1e-05,,,false,2024,1
* microsoft office,2024-01-01 00:00:00,59,59,1348454,4.4e-05,,,false,2024,1
* microsoft office suite,2024-01-01 00:00:00,89,87,1348454,6.5e-05,,,false,2024,1
* multitasking,2024-01-01 00:00:00,54,54,1348454,4e-05,,,false,2024,1
* nursing,2024-01-01 00:00:00,57,57,1348454,4.2e-05,,,false,2024,1
* organization,2024-01-01 00:00:00,62,62,1348454,4.6e-05,,,false,2024,1
* organizational skills,2024-01-01 00:00:00,81,80,1348454,5.9e-05,,,false,2024,1
* patient care,2024-01-01 00:00:00,58,58,1348454,4.3e-05,,,false,2024,1
* problem solving,2024-01-01 00:00:00,166,165,1348454,0.000122,,,false,2024,1
* problemsolving,2024-01-01 00:00:00,151,151,1348454,0.000112,,,false,2024,1
* project management,2024-01-01 00:00:00,137,136,1348454,0.000101,,,false,2024,1
* safety,2024-01-01 00:00:00,56,56,1348454,4.2e-05,,,false,2024,1
* sales,2024-01-01 00:00:00,106,106,1348454,7.9e-05,,,false,2024,1
* scheduling,2024-01-01 00:00:00,64,63,1348454,4.7e-05,,,false,2024,1
* teamwork,2024-01-01 00:00:00,247,247,1348454,0.000183,,,false,2024,1
* time management,2024-01-01 00:00:00,159,158,1348454,0.000117,,,false,2024,1
* training,2024-01-01 00:00:00,94,94,1348454,7e-05,,,false,2024,1
.net,2024-01-01 00:00:00,3152,3087,1348454,0.002289,,,false,2024,1
".net (c#)",2024-01-01 00:00:00,52,45,1348454,3.3e-05,,,false,2024,1
.net core,2024-01-01 00:00:00,646,637,1348454,0.000472,,,false,2024,1
02 years of experience,2024-01-01 00:00:00,85,83,1348454,6.2e-05,,,false,2024,1
02 years related experience,2024-01-01 00:00:00,88,88,1348454,6.5e-05,,,false,2024,1
1 link,2024-01-01 00:00:00,60,60,1348454,4.4e-05,,,false,2024,1
1 year customer service experience,2024-01-01 00:00:00,58,58,1348454,4.3e-05,,,false,2024,1
1 year experience,2024-01-01 00:00:00,410,408,1348454,0.000303,,,false,2024,1
1 year experience in related field,2024-01-01 00:00:00,57,57,1348454,4.2e-05,,,false,2024,1
1 year nursing experience,2024-01-01 00:00:00,81,81,1348454,6e-05,,,false,2024,1
1 year of experience,2024-01-01 00:00:00,335,333,1348454,0.000247,,,false,2024,1
1 year of nursing experience,2024-01-01 00:00:00,61,61,1348454,4.5e-05,,,false,2024,1
1 year of paid experience,2024-01-01 00:00:00,58,58,1348454,4.3e-05,,,false,2024,1
1 year of related experience,2024-01-01 00:00:00,63,62,1348454,4.6e-05,,,false,2024,1
1 year of relevant experience,2024-01-01 00:00:00,99,97,1348454,7.2e-05,,,false,2024,1
1 year of rn experience,2024-01-01 00:00:00,74,74,1348454,5.5e-05,,,false,2024,1
1 year of supervisory experience,2024-01-01 00:00:00,58,58,1348454,4.3e-05,,,false,2024,1
1 year paid experience,2024-01-01 00:00:00,67,67,1348454,5e-05,,,false,2024,1
1 year recent experience in specialty,2024-01-01 00:00:00,263,263,1348454,0.000195,,,false,2024,1
1 year related experience,2024-01-01 00:00:00,64,64,1348454,4.7e-05,,,false,2024,1
1 year retail or food experience,2024-01-01 00:00:00,174,174,1348454,0.000129,,,false,2024,1
1 year rn experience,2024-01-01 00:00:00,109,109,1348454,8.1e-05,,,false,2024,1
1 year supervisory experience,2024-01-01 00:00:00,60,60,1348454,4.4e-05,,,false,2024,1
1+ year experience,2024-01-01 00:00:00,163,162,1348454,0.00012,,,false,2024,1
1+ year experience with cloud computing,2024-01-01 00:00:00,65,47,1348454,3.5e-05,,,false,2024,1
1+ year management experience,2024-01-01 00:00:00,75,75,1348454,5.6e-05,,,false,2024,1
1+ year nursing experience,2024-01-01 00:00:00,63,63,1348454,4.7e-05,,,false,2024,1
1+ year of experience,2024-01-01 00:00:00,77,76,1348454,5.6e-05,,,false,2024,1
1+ year retail or sales management experience,2024-01-01 00:00:00,118,118,1348454,8.8e-05,,,false,2024,1
1+ years management experience,2024-01-01 00:00:00,77,77,1348454,5.7e-05,,,false,2024,1
1+ years of experience,2024-01-01 00:00:00,99,98,1348454,7.3e-05,,,false,2024,1
1+ years of people management experience,2024-01-01 00:00:00,56,56,1348454,4.2e-05,,,false,2024,1
1+ years of restaurant leadership experience,2024-01-01 00:00:00,202,202,1348454,0.00015,,,false,2024,1
10 hour shifts,2024-01-01 00:00:00,245,245,1348454,0.000182,,,false,2024,1
10 hours days,2024-01-01 00:00:00,72,72,1348454,5.3e-05,,,false,2024,1
10 paid holidays,2024-01-01 00:00:00,50,50,1348454,3.7e-05,,,false,2024,1
10 years experience,2024-01-01 00:00:00,79,78,1348454,5.8e-05,,,false,2024,1
10 years of experience,2024-01-01 00:00:00,251,248,1348454,0.000184,,,false,2024,1
10+ years construction experience,2024-01-01 00:00:00,123,123,1348454,9.1e-05,,,false,2024,1
10+ years experience,2024-01-01 00:00:00,329,324,1348454,0.00024,,,false,2024,1
10+ years of experience,2024-01-01 00:00:00,673,658,1348454,0.000488,,,false,2024,1
10+ years of relevant experience,2024-01-01 00:00:00,78,76,1348454,5.6e-05,,,false,2024,1
100% paid housing,2024-01-01 00:00:00,124,124,1348454,9.2e-05,,,false,2024,1
1040 tax returns,2024-01-01 00:00:00,242,242,1348454,0.000179,,,false,2024,1
1099,2024-01-01 00:00:00,111,110,1348454,8.2e-05,,,false,2024,1
1099 financial consulting,2024-01-01 00:00:00,307,307,1348454,0.000228,,,false,2024,1
1099 independent contractor,2024-01-01 00:00:00,82,73,1348454,5.4e-05,,,false,2024,1
1099 options,2024-01-01 00:00:00,68,68,1348454,5e-05,,,false,2024,1
